Ridership_ID,Route_ID,Stop_ID,Date,Boarding_Count,Alighting_Count,Route_Type,Route_Code
195382,101,16,2025-07-01,68,124,City,C01
195383,101,43,2025-07-01,158,114,City,C01
195384,101,52,2025-07-01,158,90,City,C01
195385,101,33,2025-07-01,90,79,City,C01
195386,101,20,2025-07-01,124,90,City,C01
195387,101,7,2025-07-01,68,136,City,C01
195388,101,6,2025-07-01,181,101,City,C01
195389,101,50,2025-07-01,114,101,City,C01
195390,101,18,2025-07-01,136,68,City,C01
195391,101,58,2025-07-01,101,147,City,C01
195392,101,23,2025-07-01,158,56,City,C01
195393,101,8,2025-07-01,46,124,City,C01
195394,101,59,2025-07-01,68,79,City,C01
195395,101,9,2025-07-01,136,114,City,C01
195396,101,46,2025-07-01,181,114,City,C01
195397,102,2,2025-07-01,79,114,City,C02
195398,102,24,2025-07-01,68,101,City,C02
195399,102,18,2025-07-01,136,114,City,C02
195400,102,10,2025-07-01,124,68,City,C02
195401,102,20,2025-07-01,124,90,City,C02
195402,102,32,2025-07-01,90,90,City,C02
195403,102,7,2025-07-01,56,124,City,C02
195404,102,50,2025-07-01,124,68,City,C02
195405,102,40,2025-07-01,46,90,City,C02
195406,102,34,2025-07-01,101,101,City,C02
195407,102,38,2025-07-01,114,124,City,C02
195408,102,13,2025-07-01,114,169,City,C02
195409,102,26,2025-07-01,124,90,City,C02
195410,103,43,2025-07-01,124,136,City,C03
195411,103,52,2025-07-01,124,68,City,C03
195412,103,33,2025-07-01,158,124,City,C03
195413,103,31,2025-07-01,114,181,City,C03
195414,103,46,2025-07-01,90,114,City,C03
195415,103,6,2025-07-01,136,124,City,C03
195416,103,26,2025-07-01,124,101,City,C03
195417,103,55,2025-07-01,124,124,City,C03
195418,103,9,2025-07-01,158,79,City,C03
195419,103,51,2025-07-01,101,136,City,C03
195420,103,39,2025-07-01,114,68,City,C03
195421,103,19,2025-07-01,90,46,City,C03
195422,103,49,2025-07-01,158,90,City,C03
195423,103,23,2025-07-01,90,136,City,C03
195424,103,47,2025-07-01,90,114,City,C03
195425,104,57,2025-07-01,223,161,Express,X11
195426,104,13,2025-07-01,186,124,Express,X11
195427,104,22,2025-07-01,186,211,Express,X11
195428,104,18,2025-07-01,137,137,Express,X11
195429,104,17,2025-07-01,161,137,Express,X11
195430,104,5,2025-07-01,173,86,Express,X11
195431,104,20,2025-07-01,99,223,Express,X11
195432,104,42,2025-07-01,223,223,Express,X11
195433,104,7,2025-07-01,197,173,Express,X11
195434,104,52,2025-07-01,86,161,Express,X11
195435,104,2,2025-07-01,173,197,Express,X11
195436,105,28,2025-07-01,99,161,Express,X28
195437,105,27,2025-07-01,148,111,Express,X28
195438,105,11,2025-07-01,173,137,Express,X28
195439,105,38,2025-07-01,50,186,Express,X28
195440,105,24,2025-07-01,137,173,Express,X28
195441,105,8,2025-07-01,124,148,Express,X28
195442,105,17,2025-07-01,137,173,Express,X28
195443,105,16,2025-07-01,137,124,Express,X28
195444,105,5,2025-07-01,211,86,Express,X28
195445,105,23,2025-07-01,223,161,Express,X28
195446,105,51,2025-07-01,124,223,Express,X28
195447,106,28,2025-07-01,98,78,Feeder,F12
195448,106,4,2025-07-01,117,58,Feeder,F12
195449,106,1,2025-07-01,68,49,Feeder,F12
195450,106,27,2025-07-01,68,49,Feeder,F12
195451,106,41,2025-07-01,68,98,Feeder,F12
195452,106,32,2025-07-01,49,107,Feeder,F12
195453,106,21,2025-07-01,68,58,Feeder,F12
195454,106,34,2025-07-01,78,68,Feeder,F12
195455,106,37,2025-07-01,78,87,Feeder,F12
195456,106,55,2025-07-01,68,39,Feeder,F12
195457,106,6,2025-07-01,78,68,Feeder,F12
195458,106,52,2025-07-01,98,68,Feeder,F12
195459,106,20,2025-07-01,107,126,Feeder,F12
195460,107,13,2025-07-01,82,56,Feeder,F18
195461,107,57,2025-07-01,101,37,Feeder,F18
195462,107,22,2025-07-01,92,37,Feeder,F18
195463,107,34,2025-07-01,82,64,Feeder,F18
195464,107,41,2025-07-01,74,37,Feeder,F18
195465,107,46,2025-07-01,74,46,Feeder,F18
195466,107,21,2025-07-01,64,82,Feeder,F18
195467,107,16,2025-07-01,27,46,Feeder,F18
195468,107,30,2025-07-01,101,64,Feeder,F18
195469,107,4,2025-07-01,74,101,Feeder,F18
195470,107,12,2025-07-01,56,74,Feeder,F18
195471,107,29,2025-07-01,92,82,Feeder,F18
195472,107,1,2025-07-01,101,64,Feeder,F18
195473,107,55,2025-07-01,82,37,Feeder,F18
195474,107,7,2025-07-01,27,56,Feeder,F18
195475,108,15,2025-07-01,68,58,Feeder,F25
195476,108,13,2025-07-01,49,126,Feeder,F25
195477,108,30,2025-07-01,39,87,Feeder,F25
195478,108,57,2025-07-01,58,58,Feeder,F25
195479,108,21,2025-07-01,58,49,Feeder,F25
195480,108,41,2025-07-01,78,68,Feeder,F25
195481,108,6,2025-07-01,107,39,Feeder,F25
195482,108,44,2025-07-01,49,136,Feeder,F25
195483,108,20,2025-07-01,39,58,Feeder,F25
195484,108,45,2025-07-01,98,58,Feeder,F25
195485,108,46,2025-07-01,68,117,Feeder,F25
195486,108,3,2025-07-01,78,78,Feeder,F25
195487,108,47,2025-07-01,39,29,Feeder,F25
195488,108,8,2025-07-01,78,107,Feeder,F25
195489,109,48,2025-07-01,85,43,Intercity,E16
195490,109,55,2025-07-01,32,118,Intercity,E16
195491,109,39,2025-07-01,43,43,Intercity,E16
195492,109,8,2025-07-01,54,128,Intercity,E16
195493,109,32,2025-07-01,54,96,Intercity,E16
195494,109,5,2025-07-01,118,43,Intercity,E16
195495,109,17,2025-07-01,64,21,Intercity,E16
195496,109,26,2025-07-01,54,118,Intercity,E16
195497,109,21,2025-07-01,75,118,Intercity,E16
195498,109,12,2025-07-01,96,75,Intercity,E16
195499,109,20,2025-07-01,96,96,Intercity,E16
195500,110,39,2025-07-01,43,107,Intercity,E22
195501,110,37,2025-07-01,96,75,Intercity,E22
195502,110,40,2025-07-01,85,85,Intercity,E22
195503,110,59,2025-07-01,96,85,Intercity,E22
195504,110,21,2025-07-01,118,96,Intercity,E22
195505,110,41,2025-07-01,107,54,Intercity,E22
195506,110,8,2025-07-01,64,43,Intercity,E22
195507,110,4,2025-07-01,118,85,Intercity,E22
195508,110,6,2025-07-01,85,64,Intercity,E22
195509,110,48,2025-07-01,85,54,Intercity,E22
195510,110,30,2025-07-01,149,85,Intercity,E22
195511,110,19,2025-07-01,96,85,Intercity,E22
195512,110,47,2025-07-01,85,96,Intercity,E22
195513,111,33,2025-07-01,79,101,City,C04
195514,111,16,2025-07-01,101,101,City,C04
195515,111,31,2025-07-01,124,114,City,C04
195516,111,52,2025-07-01,46,101,City,C04
195517,111,56,2025-07-01,147,124,City,C04
195518,111,35,2025-07-01,158,136,City,C04
195519,111,5,2025-07-01,204,114,City,C04
195520,111,25,2025-07-01,124,90,City,C04
195521,111,58,2025-07-01,114,90,City,C04
195522,111,41,2025-07-01,114,124,City,C04
195523,111,29,2025-07-01,101,114,City,C04
195524,111,54,2025-07-01,204,101,City,C04
195525,112,4,2025-07-01,148,137,Express,X66
195526,112,1,2025-07-01,161,223,Express,X66
195527,112,29,2025-07-01,173,99,Express,X66
195528,112,45,2025-07-01,137,161,Express,X66
195529,112,35,2025-07-01,235,124,Express,X66
195530,112,15,2025-07-01,211,86,Express,X66
195531,112,59,2025-07-01,186,161,Express,X66
195532,112,33,2025-07-01,186,137,Express,X66
195533,112,25,2025-07-01,173,99,Express,X66
195534,112,56,2025-07-01,137,75,Express,X66
195535,101,16,2025-07-02,147,114,City,C01
195536,101,43,2025-07-02,124,147,City,C01
195537,101,52,2025-07-02,124,114,City,C01
195538,101,33,2025-07-02,147,68,City,C01
195539,101,20,2025-07-02,56,79,City,C01
195540,101,7,2025-07-02,90,79,City,C01
195541,101,6,2025-07-02,79,114,City,C01
195542,101,50,2025-07-02,158,101,City,C01
195543,101,18,2025-07-02,169,101,City,C01
195544,101,58,2025-07-02,124,124,City,C01
195545,101,23,2025-07-02,101,158,City,C01
195546,101,8,2025-07-02,181,90,City,C01
195547,101,59,2025-07-02,124,68,City,C01
195548,101,9,2025-07-02,114,79,City,C01
195549,101,46,2025-07-02,90,192,City,C01
195550,102,2,2025-07-02,46,124,City,C02
195551,102,24,2025-07-02,90,136,City,C02
195552,102,18,2025-07-02,114,101,City,C02
195553,102,10,2025-07-02,68,68,City,C02
195554,102,20,2025-07-02,90,114,City,C02
195555,102,32,2025-07-02,158,114,City,C02
195556,102,7,2025-07-02,124,79,City,C02
195557,102,50,2025-07-02,101,101,City,C02
195558,102,40,2025-07-02,114,90,City,C02
195559,102,34,2025-07-02,158,136,City,C02
195560,102,38,2025-07-02,192,124,City,C02
195561,102,13,2025-07-02,101,114,City,C02
195562,102,26,2025-07-02,114,158,City,C02
195563,103,43,2025-07-02,124,56,City,C03
195564,103,52,2025-07-02,136,56,City,C03
195565,103,33,2025-07-02,136,136,City,C03
195566,103,31,2025-07-02,136,68,City,C03
195567,103,46,2025-07-02,101,147,City,C03
