Date,Congestion_Level,Avg_Speed_kmph
2025-07-01,3,30.66
2025-07-02,4,21.91
2025-07-03,4,22.94
2025-07-04,4,23.53
2025-07-05,1,39.3
2025-07-06,4,23.51
2025-07-07,4,27.22
2025-07-08,1,38.83
2025-07-09,3,30.45
2025-07-10,2,38.62
2025-07-11,1,39.25
2025-07-12,3,28.5
2025-07-13,1,38.68
2025-07-14,4,25.63
2025-07-15,3,34.85
2025-07-16,4,21.27
2025-07-17,2,36.92
2025-07-18,2,36.21
2025-07-19,4,26.96
2025-07-20,2,39.1
2025-07-21,4,23.26
2025-07-22,4,27.35
2025-07-23,1,40.66
2025-07-24,3,28.83
2025-07-25,1,41.84
2025-07-26,2,29.95
2025-07-27,2,31.68
2025-07-28,1,42.65
2025-07-29,4,20.96
2025-07-30,3,30.89
2025-07-31,4,23.8
2025-08-01,2,32.47
2025-08-02,1,42.5
2025-08-03,1,39.41
2025-08-04,2,35.49
2025-08-05,4,18.34
2025-08-06,3,31.91
2025-08-07,2,34.14
2025-08-08,4,21.76
2025-08-09,1,39.05
2025-08-10,4,26.89
2025-08-11,3,33.08
2025-08-12,4,25.26
2025-08-13,4,17.17
2025-08-14,3,31.29
2025-08-15,4,23.07
2025-08-16,3,31.38
2025-08-17,3,28.51
2025-08-18,4,21.06
2025-08-19,4,22.78
2025-08-20,4,26.31
2025-08-21,4,26.32
2025-08-22,4,23.98
2025-08-23,1,43.02
2025-08-24,1,40.68
2025-08-25,4,21.49
2025-08-26,4,24.49
2025-08-27,4,25.11
2025-08-28,4,18.51
2025-08-29,4,22.6
2025-08-30,3,27.64
2025-08-31,2,34.32
2025-09-01,5,19.32
2025-09-02,3,29.8
2025-09-03,3,29.47
2025-09-04,3,29.5
2025-09-05,5,18.07
2025-09-06,2,35.69
2025-09-07,2,33.1
2025-09-08,5,21.02
2025-09-09,3,27.18
2025-09-10,5,21.06
2025-09-11,4,26.93
2025-09-12,5,22.14
2025-09-13,2,32.73
2025-09-14,1,37.76
2025-09-15,3,32.47
2025-09-16,4,23.81
2025-09-17,3,28.72
2025-09-18,4,22.17
2025-09-19,5,18.21
2025-09-20,2,34.89
2025-09-21,1,38.21
2025-09-22,2,35.47
2025-09-23,5,21.1
2025-09-24,5,16.94
2025-09-25,4,27.42
2025-09-26,3,34.34
2025-09-27,5,19.3
2025-09-28,4,25.76
2025-09-29,2,38.46
2025-09-30,4,25.3
