Ridership_ID,Route_ID,Stop_ID,Date,Boarding_Count,Alighting_Count,Route_Type,Route_Code
209458,101,16,2025-10-01,101,68,City,C01
209459,101,43,2025-10-01,113,101,City,C01
209460,101,52,2025-10-01,180,169,City,C01
209461,101,33,2025-10-01,225,169,City,C01
209462,101,20,2025-10-01,101,101,City,C01
209463,101,7,2025-10-01,169,90,City,C01
209464,101,6,2025-10-01,169,113,City,C01
209465,101,50,2025-10-01,147,90,City,C01
209466,101,18,2025-10-01,101,157,City,C01
209467,101,58,2025-10-01,101,157,City,C01
209468,101,23,2025-10-01,180,180,City,C01
209469,101,8,2025-10-01,157,56,City,C01
209470,101,59,2025-10-01,113,124,City,C01
209471,101,9,2025-10-01,169,157,City,C01
209472,101,46,2025-10-01,157,113,City,C01
209473,102,2,2025-10-01,101,135,City,C02
209474,102,24,2025-10-01,157,113,City,C02
209475,102,18,2025-10-01,113,46,City,C02
209476,102,10,2025-10-01,124,124,City,C02
209477,102,20,2025-10-01,135,169,City,C02
209478,102,32,2025-10-01,68,124,City,C02
209479,102,7,2025-10-01,147,79,City,C02
209480,102,50,2025-10-01,90,56,City,C02
209481,102,40,2025-10-01,124,157,City,C02
209482,102,34,2025-10-01,203,124,City,C02
209483,102,38,2025-10-01,135,79,City,C02
209484,102,13,2025-10-01,157,180,City,C02
209485,102,26,2025-10-01,147,157,City,C02
209486,103,43,2025-10-01,213,46,City,C03
209487,103,52,2025-10-01,180,79,City,C03
209488,103,33,2025-10-01,79,169,City,C03
209489,103,31,2025-10-01,147,147,City,C03
209490,103,46,2025-10-01,169,113,City,C03
209491,103,6,2025-10-01,101,90,City,C03
209492,103,26,2025-10-01,147,135,City,C03
209493,103,55,2025-10-01,135,90,City,C03
209494,103,9,2025-10-01,147,124,City,C03
209495,103,51,2025-10-01,203,90,City,C03
209496,103,39,2025-10-01,113,169,City,C03
209497,103,19,2025-10-01,124,135,City,C03
209498,103,49,2025-10-01,56,147,City,C03
209499,103,23,2025-10-01,247,180,City,C03
209500,103,47,2025-10-01,147,101,City,C03
209501,104,57,2025-10-01,190,119,Express,X11
209502,104,13,2025-10-01,167,238,Express,X11
209503,104,22,2025-10-01,60,131,Express,X11
209504,104,18,2025-10-01,155,143,Express,X11
209505,104,17,2025-10-01,155,107,Express,X11
209506,104,5,2025-10-01,226,167,Express,X11
209507,104,20,2025-10-01,143,95,Express,X11
209508,104,42,2025-10-01,119,143,Express,X11
209509,104,7,2025-10-01,60,95,Express,X11
209510,104,52,2025-10-01,95,143,Express,X11
209511,104,2,2025-10-01,190,155,Express,X11
209512,105,28,2025-10-01,107,167,Express,X28
209513,105,27,2025-10-01,155,214,Express,X28
209514,105,11,2025-10-01,155,95,Express,X28
209515,105,38,2025-10-01,119,83,Express,X28
209516,105,24,2025-10-01,167,155,Express,X28
209517,105,8,2025-10-01,107,143,Express,X28
209518,105,17,2025-10-01,155,143,Express,X28
209519,105,16,2025-10-01,155,167,Express,X28
209520,105,5,2025-10-01,95,167,Express,X28
209521,105,23,2025-10-01,155,143,Express,X28
209522,105,51,2025-10-01,143,119,Express,X28
209523,106,28,2025-10-01,134,82,Feeder,F12
209524,106,4,2025-10-01,72,62,Feeder,F12
209525,106,1,2025-10-01,103,30,Feeder,F12
209526,106,27,2025-10-01,154,42,Feeder,F12
209527,106,41,2025-10-01,103,82,Feeder,F12
209528,106,32,2025-10-01,103,62,Feeder,F12
209529,106,21,2025-10-01,20,103,Feeder,F12
209530,106,34,2025-10-01,62,72,Feeder,F12
209531,106,37,2025-10-01,51,62,Feeder,F12
209532,106,55,2025-10-01,103,92,Feeder,F12
209533,106,6,2025-10-01,82,42,Feeder,F12
209534,106,52,2025-10-01,123,103,Feeder,F12
209535,106,20,2025-10-01,62,72,Feeder,F12
209536,107,13,2025-10-01,70,100,Feeder,F18
209537,107,57,2025-10-01,40,60,Feeder,F18
209538,107,22,2025-10-01,50,40,Feeder,F18
209539,107,34,2025-10-01,80,60,Feeder,F18
209540,107,41,2025-10-01,60,50,Feeder,F18
209541,107,46,2025-10-01,50,70,Feeder,F18
209542,107,21,2025-10-01,60,60,Feeder,F18
209543,107,16,2025-10-01,110,60,Feeder,F18
209544,107,30,2025-10-01,89,110,Feeder,F18
209545,107,4,2025-10-01,60,80,Feeder,F18
209546,107,12,2025-10-01,119,89,Feeder,F18
209547,107,29,2025-10-01,50,70,Feeder,F18
209548,107,1,2025-10-01,60,89,Feeder,F18
209549,107,55,2025-10-01,110,19,Feeder,F18
209550,107,7,2025-10-01,40,70,Feeder,F18
209551,108,15,2025-10-01,51,82,Feeder,F25
209552,108,13,2025-10-01,92,103,Feeder,F25
209553,108,30,2025-10-01,92,92,Feeder,F25
209554,108,57,2025-10-01,42,82,Feeder,F25
209555,108,21,2025-10-01,62,72,Feeder,F25
209556,108,41,2025-10-01,92,72,Feeder,F25
209557,108,6,2025-10-01,62,51,Feeder,F25
209558,108,44,2025-10-01,62,72,Feeder,F25
209559,108,20,2025-10-01,144,62,Feeder,F25
209560,108,45,2025-10-01,30,72,Feeder,F25
209561,108,46,2025-10-01,82,92,Feeder,F25
209562,108,3,2025-10-01,144,72,Feeder,F25
209563,108,47,2025-10-01,114,62,Feeder,F25
209564,108,8,2025-10-01,30,51,Feeder,F25
209565,109,48,2025-10-01,65,54,Intercity,E16
209566,109,55,2025-10-01,109,97,Intercity,E16
209567,109,39,2025-10-01,65,97,Intercity,E16
209568,109,8,2025-10-01,97,44,Intercity,E16
209569,109,32,2025-10-01,109,32,Intercity,E16
209570,109,5,2025-10-01,151,54,Intercity,E16
209571,109,17,2025-10-01,119,76,Intercity,E16
209572,109,26,2025-10-01,76,54,Intercity,E16
209573,109,21,2025-10-01,54,32,Intercity,E16
209574,109,12,2025-10-01,119,65,Intercity,E16
209575,109,20,2025-10-01,109,86,Intercity,E16
209576,110,39,2025-10-01,76,86,Intercity,E22
209577,110,37,2025-10-01,109,76,Intercity,E22
209578,110,40,2025-10-01,76,97,Intercity,E22
209579,110,59,2025-10-01,97,162,Intercity,E22
209580,110,21,2025-10-01,109,21,Intercity,E22
209581,110,41,2025-10-01,76,76,Intercity,E22
209582,110,8,2025-10-01,86,44,Intercity,E22
209583,110,4,2025-10-01,76,86,Intercity,E22
209584,110,6,2025-10-01,76,32,Intercity,E22
209585,110,48,2025-10-01,109,86,Intercity,E22
209586,110,30,2025-10-01,76,76,Intercity,E22
209587,110,19,2025-10-01,76,54,Intercity,E22
209588,110,47,2025-10-01,109,109,Intercity,E22
209589,111,33,2025-10-01,180,113,City,C04
