Date,Congestion_Level,Avg_Speed_kmph
2022-01-01,2,37.75
2022-01-02,1,41.22
2022-01-03,4,25.64
2022-01-04,4,24.67
2022-01-05,3,32.47
2022-01-06,2,32.49
2022-01-07,2,30.19
2022-01-08,2,37.68
2022-01-09,2,31.79
2022-01-10,2,30.8
2022-01-11,1,41.45
2022-01-12,3,28.0
2022-01-13,5,17.59
2022-01-14,5,23.66
2022-01-15,1,41.76
2022-01-16,4,21.66
2022-01-17,3,32.14
2022-01-18,3,33.34
2022-01-19,1,36.54
2022-01-20,2,34.15
2022-01-21,1,39.47
2022-01-22,1,40.8
2022-01-23,2,34.41
2022-01-24,3,31.72
2022-01-25,2,34.94
2022-01-26,1,40.64
2022-01-27,4,23.04
2022-01-28,4,25.79
2022-01-29,3,27.73
2022-01-30,3,33.03
2022-01-31,2,39.34
2022-02-01,2,34.7
2022-02-02,1,39.72
2022-02-03,2,35.43
2022-02-04,1,41.6
2022-02-05,2,35.41
2022-02-06,2,37.41
2022-02-07,2,35.04
2022-02-08,1,43.77
2022-02-09,3,30.07
2022-02-10,3,29.13
2022-02-11,1,42.31
2022-02-12,2,32.56
2022-02-13,1,39.68
2022-02-14,4,29.04
2022-02-15,4,25.56
2022-02-16,4,23.74
2022-02-17,1,40.63
2022-02-18,3,29.7
2022-02-19,2,34.86
2022-02-20,2,35.23
2022-02-21,2,34.21
2022-02-22,5,20.37
2022-02-23,2,32.56
2022-02-24,3,28.47
2022-02-25,4,20.85
2022-02-26,2,36.39
2022-02-27,2,33.26
2022-02-28,5,21.09
2022-03-01,3,27.87
2022-03-02,2,37.27
2022-03-03,3,30.08
2022-03-04,3,27.48
2022-03-05,1,41.24
2022-03-06,2,37.4
2022-03-07,3,30.85
2022-03-08,4,22.54
2022-03-09,3,27.86
2022-03-10,3,29.63
2022-03-11,4,22.78
2022-03-12,2,32.44
2022-03-13,3,31.21
2022-03-14,2,34.07
2022-03-15,4,28.07
2022-03-16,4,26.87
2022-03-17,5,18.21
2022-03-18,2,35.49
2022-03-19,2,36.08
2022-03-20,3,29.49
2022-03-21,3,28.65
2022-03-22,3,24.06
2022-03-23,5,20.02
2022-03-24,2,34.73
2022-03-25,1,41.27
2022-03-26,1,39.23
2022-03-27,2,32.78
2022-03-28,2,33.64
2022-03-29,3,28.85
2022-03-30,3,28.61
2022-03-31,1,41.11
2022-04-01,2,31.29
2022-04-02,5,20.88
2022-04-03,2,33.62
2022-04-04,4,21.98
2022-04-05,2,33.15
2022-04-06,3,27.64
2022-04-07,3,28.81
2022-04-08,3,27.43
2022-04-09,1,41.51
2022-04-10,1,39.03
2022-04-11,2,34.46
2022-04-12,1,40.2
2022-04-13,4,26.1
2022-04-14,4,21.97
2022-04-15,5,23.53
2022-04-16,1,39.89
2022-04-17,2,35.78
2022-04-18,3,26.5
2022-04-19,1,44.26
2022-04-20,5,20.67
2022-04-21,2,33.32
2022-04-22,2,34.31
2022-04-23,2,36.38
2022-04-24,1,42.62
2022-04-25,5,18.67
2022-04-26,3,32.28
2022-04-27,1,41.51
2022-04-28,2,35.92
2022-04-29,2,28.44
2022-04-30,2,35.09
2022-05-01,3,30.17
2022-05-02,3,26.96
2022-05-03,5,19.02
2022-05-04,4,25.74
2022-05-05,2,34.82
2022-05-06,2,34.86
2022-05-07,1,38.48
2022-05-08,2,36.18
2022-05-09,2,31.57
2022-05-10,2,29.64
2022-05-11,1,40.28
2022-05-12,2,35.64
2022-05-13,2,35.73
2022-05-14,1,39.58
2022-05-15,3,28.37
2022-05-16,1,38.16
2022-05-17,3,31.43
2022-05-18,1,43.58
2022-05-19,2,34.24
2022-05-20,5,22.85
2022-05-21,4,24.6
2022-05-22,2,33.4
2022-05-23,3,31.58
2022-05-24,2,33.9
2022-05-25,2,36.01
2022-05-26,2,33.83
2022-05-27,5,20.77
2022-05-28,1,35.2
2022-05-29,3,31.7
2022-05-30,3,29.44
2022-05-31,5,17.63
2022-06-01,2,34.63
2022-06-02,3,30.57
2022-06-03,3,28.46
2022-06-04,1,41.81
2022-06-05,2,34.58
2022-06-06,1,39.59
2022-06-07,3,28.81
2022-06-08,3,30.9
2022-06-09,2,33.91
2022-06-10,4,18.94
2022-06-11,3,30.19
2022-06-12,2,34.41
2022-06-13,2,36.02
2022-06-14,4,23.98
2022-06-15,1,41.37
2022-06-16,4,16.95
2022-06-17,3,30.3
2022-06-18,4,23.85
2022-06-19,2,34.98
2022-06-20,2,33.57
2022-06-21,2,35.51
2022-06-22,4,20.47
2022-06-23,2,34.01
2022-06-24,2,36.27
2022-06-25,2,32.39
2022-06-26,4,21.72
2022-06-27,2,34.78
2022-06-28,4,27.93
2022-06-29,3,28.27
2022-06-30,2,37.02
2022-07-01,3,32.75
2022-07-02,1,39.73
2022-07-03,1,38.94
2022-07-04,2,34.19
2022-07-05,1,39.46
2022-07-06,1,39.7
2022-07-07,4,18.37
2022-07-08,2,33.49
2022-07-09,2,37.58
2022-07-10,1,40.57
2022-07-11,3,32.36
2022-07-12,1,42.1
2022-07-13,2,38.51
2022-07-14,2,36.0
2022-07-15,3,30.24
2022-07-16,2,36.97
2022-07-17,2,36.18
2022-07-18,1,38.84
2022-07-19,1,33.91
2022-07-20,3,29.29
2022-07-21,1,36.26
2022-07-22,3,32.06
2022-07-23,2,32.77
2022-07-24,1,37.41
2022-07-25,2,35.04
2022-07-26,1,41.42
2022-07-27,1,42.55
2022-07-28,2,35.88
2022-07-29,2,36.95
2022-07-30,1,37.83
2022-07-31,1,38.43
2022-08-01,2,33.23
2022-08-02,4,22.48
2022-08-03,2,38.02
2022-08-04,2,37.09
2022-08-05,4,16.39
2022-08-06,2,33.98
2022-08-07,1,38.89
2022-08-08,1,41.34
2022-08-09,1,41.99
2022-08-10,2,37.46
2022-08-11,4,26.66
2022-08-12,4,22.95
2022-08-13,4,23.35
2022-08-14,2,32.14
2022-08-15,1,39.2
2022-08-16,1,40.28
2022-08-17,4,17.61
2022-08-18,4,25.56
2022-08-19,3,29.36
2022-08-20,1,35.61
2022-08-21,1,38.64
2022-08-22,2,33.35
2022-08-23,4,23.19
2022-08-24,2,31.52
2022-08-25,2,35.2
2022-08-26,2,33.72
2022-08-27,1,37.97
2022-08-28,1,40.42
2022-08-29,1,40.06
2022-08-30,4,24.38
2022-08-31,4,24.93
2022-09-01,2,40.07
2022-09-02,4,26.74
2022-09-03,1,42.89
2022-09-04,1,42.21
2022-09-05,1,36.12
2022-09-06,4,26.85
2022-09-07,1,39.97
2022-09-08,1,37.04
2022-09-09,1,38.64
2022-09-10,1,41.92
2022-09-11,3,26.08
2022-09-12,1,36.61
2022-09-13,5,19.28
2022-09-14,3,30.0
2022-09-15,5,21.88
2022-09-16,5,19.07
2022-09-17,1,38.41
2022-09-18,1,42.82
2022-09-19,3,28.79
2022-09-20,2,36.87
2022-09-21,2,34.2
2022-09-22,4,23.21
2022-09-23,2,39.35
2022-09-24,2,34.55
2022-09-25,3,28.46
2022-09-26,2,33.6
2022-09-27,2,35.08
2022-09-28,4,20.85
2022-09-29,2,35.01
2022-09-30,3,27.79
2022-10-01,3,31.11
2022-10-02,2,37.0
2022-10-03,3,28.86
2022-10-04,1,38.45
2022-10-05,1,40.07
2022-10-06,2,35.3
2022-10-07,1,43.08
2022-10-08,3,28.84
2022-10-09,1,37.56
2022-10-10,4,22.12
2022-10-11,3,32.34
2022-10-12,2,33.48
2022-10-13,1,39.45
2022-10-14,2,35.41
2022-10-15,4,23.03
2022-10-16,1,40.06
2022-10-17,3,26.71
2022-10-18,2,34.6
2022-10-19,5,16.52
2022-10-20,2,33.32
2022-10-21,1,41.48
2022-10-22,3,29.0
2022-10-23,4,26.51
2022-10-24,3,28.65
2022-10-25,4,25.65
2022-10-26,3,31.27
2022-10-27,1,39.86
2022-10-28,1,39.97
2022-10-29,4,23.24
2022-10-30,3,30.42
2022-10-31,5,20.81
2022-11-01,4,25.73
2022-11-02,2,38.39
2022-11-03,1,37.16
2022-11-04,5,21.8
2022-11-05,1,40.64
2022-11-06,1,37.52
2022-11-07,2,39.73
2022-11-08,2,38.1
2022-11-09,5,19.48
2022-11-10,5,18.91
2022-11-11,4,23.95
2022-11-12,2,32.28
2022-11-13,1,38.62
2022-11-14,1,40.97
2022-11-15,2,34.36
2022-11-16,2,30.95
2022-11-17,5,20.82
2022-11-18,2,37.7
2022-11-19,2,34.6
2022-11-20,2,33.13
2022-11-21,2,34.1
2022-11-22,3,29.07
2022-11-23,3,26.56
2022-11-24,2,38.08
2022-11-25,3,25.46
2022-11-26,1,42.55
2022-11-27,1,38.01
2022-11-28,1,38.66
2022-11-29,5,23.78
2022-11-30,2,33.09
2022-12-01,4,24.98
2022-12-02,3,32.15
2022-12-03,2,33.2
